,titles,prices,descs,small_imgs,big_imgs1,big_imgs2,big_imgs3,energys,carbonhydrates,proteins,fats,minerals,vitamins,is_in_stock,harvest_year,measures
0,Asparagus,$2.00," Asparagus is a nutrient-dense food that is high in folic acid and is also a good source of potassium, fiber, vitamin B6, vitamins A and vitamin C, and thiamine. Extensive research into asparagus nutrition has resulted in this funny-looking vegetable being ranked among the top fruits and vegetables for its ability to reduce the effect of cell-damaging free radicals. ",https://cdn.shopify.com/s/files/1/1148/3974/products/asparagus_grande.jpg?v=1473487320,,,,20 kcal,4 g,2 g,0 g,,, In stock , Harvest 2016 , lb 
1,Avocado,$3.00," Avocados are commercially valuable and are cultivated in tropical and Mediterranean climates throughout the world.[3] They have a green-skinned, fleshy body that may be pear-shaped, egg-shaped, or spherical. Commercially, they ripen after harvesting. Avocado trees are partially self-pollinating and often are propagated through grafting to maintain a predictable quality and quantity of the fruit. ",https://cdn.shopify.com/s/files/1/1148/3974/products/avocado_grande.jpg?v=1476190534,,,,20kcal,9g,1g,8g,,, In stock , Harvest 2016 , lb 
2,Balsamic Vinegar,$3.48," Description Local Balsamiq Vinegar tastes like real vinegar imported from Italy, but less expensive and taste with native flavour. It works well in a salad mixed with extra virgin olive oil. Put it on lettuce or a tomato slice and give it a try with crisp toast! ",https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar_grande.jpeg?v=1456211029,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar.jpeg?v=1456211029,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-single.jpeg?v=1456211029,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-and-tomatoes.jpeg?v=1456211029,,,,,,, In stock , Harvest 2014 , oz 
3,Balsamic Vinegar 2015,$3.48," Description Local Balsamiq Vinegar tastes like real vinegar imported from Italy, but less expensive and taste with native flavour. It works well in a salad mixed with extra virgin olive oil. Put it on lettuce or a tomato slice and give it a try with crisp toast! ",https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar_39f87480-3235-407b-a2e6-4fe718fde5ff_grande.jpeg?v=1456211000,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar_39f87480-3235-407b-a2e6-4fe718fde5ff.jpeg?v=1456211000,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-single_51e52c69-100f-41e2-b823-0c8480101143.jpeg?v=1456211000,https://cdn.shopify.com/s/files/1/1148/3974/products/Vinegar-and-tomatoes_c3c532ba-8857-4e2f-95d6-a27153a068d2.jpeg?v=1456211000,,,,,,, In stock , Harvest 2015 , oz 
4,Basil,$2.29," Description Basil is a well-known name for the culinary herb. Would like to make your pizza or salad smell and taste differently and intriguing, basil will manage this task. This is a ""king of herbs"" by many cookery authors, so don't pass by and join the credible community. Basil is most commonly used fresh in cooked recipes. In general, it is added at the last moment, as cooking quickly destroys the flavor. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Basil_grande.jpeg?v=1456211118,https://cdn.shopify.com/s/files/1/1148/3974/products/Basil.jpeg?v=1456211118,https://cdn.shopify.com/s/files/1/1148/3974/products/Basil-close-up.jpeg?v=1456211118,https://cdn.shopify.com/s/files/1/1148/3974/products/Basil-side-pic.jpeg?v=1456211118,22Kcal,2.65g,0.64g,3.15g, Ca Fe Zn Mg P Mn , a b2 b3 b6 b9 c k , In stock , Harvest 2015 , Bunch 
5,Beetroot,$2.95," Belonging to the same family as chard and spinach, both the leaves and root can be eaten - the leaves have a bitter taste whereas the round root is sweet. Typically a rich purple colour, beetroot can also be white or golden. Due to its high sugar content, beetroot is delicious eaten raw but is more typically cooked or pickled. ",https://cdn.shopify.com/s/files/1/1148/3974/products/beetroot_grande.jpg?v=1473487746,,,,43 kcal,10 g,1.6 g,0.2 g,,, In stock , Harvest 2016 , kg 
6,Bell pepper,$6.99," All red, yellow, and orange peppers start out green. The color changes and their sweetness increases depending on how long they're allowed to ripen on the vine. In Season: Bell peppers are available year-round, but they're at their best from July through November. ",https://cdn.shopify.com/s/files/1/1148/3974/products/paprika_grande.jpg?v=1476191105,,,,20kcal,4.6g,1.2g,0.2g,,, In stock , Harvest 2016 , lb 
7,Brandywine Tomatoes,$8.05," Description Brandywine tomatoes popularly is considered among the best tasting available, probably is caused its origin. Brandywine tomato plant is an heirloom cultivar of the species. if you want to taste the best tomatoey flavor this tomato is exactly what you need. This particular cultivar is extremely succulent and tasty. It is a beautifully sweet tomato that is offset by a wonderful acidity that is a perfect combination for delicious dishes. ",https://cdn.shopify.com/s/files/1/1148/3974/products/Brandywine-tomatoes-front_grande.jpeg?v=1456211078,https://cdn.shopify.com/s/files/1/1148/3974/products/Brandywine-tomatoes-front.jpeg?v=1456211078,https://cdn.shopify.com/s/files/1/1148/3974/products/Brandywine-Tomatoes.jpeg?v=1456211078,,18Kcal,3.9g,0.2g,0.9g, Ca Zn Ma P Mn , a c e k , In stock , Harvest 2015 , kg 
8,Broccoli,$1.80," Broccoli belongs to the cruciferous vegetable family, which includes kale, cauliflower, Brussels sprouts, bok choy, cabbage, collard greens, rutabaga and turnips. These nutrition powerhouses supply loads of nutrients for little calories. ",https://cdn.shopify.com/s/files/1/1148/3974/products/broccoli_grande.jpg?v=1473487386,,,,34 kcal,7 g,2.8 g,0.4 g,,, In stock , Harvest 2016 , lb 
9,C - OVERLOAD,$12.00," Description Season offer consists of 3 items full of C vitamin that is so important for your health especially in the fall when you can get cold. That's why we picked 2 pints of raspberries, 1 kg of Stanley plums and 2 kg of Fuji apples to make your health prepared for the nasty weather. All these items are carefully packed into a wooden box so there is no worries about shopping. Everything will be delivered on time and in proper shape. And of course, it is a discount offer where you save 20%. Safe and sound gets a new meaning ;) ",https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries_ed450429-f3d8-4757-9507-f18101c2c057_grande.jpeg?v=1456210992,https://cdn.shopify.com/s/files/1/1148/3974/products/raspberries_ed450429-f3d8-4757-9507-f18101c2c057.jpeg?v=1456210992,https://cdn.shopify.com/s/files/1/1148/3974/products/Stanley-Plums-Above_bcaaac45-1ebe-426a-a915-34f35561e082.jpeg?v=1456210992,https://cdn.shopify.com/s/files/1/1148/3974/products/Apple-in-the-middle.jpeg?v=1456210992,,,,,,, Out of stock , Harvest 2015 , 
